time	232Th	228Ra	228Ac	228Th	224Ra	220Rn	216Po	212Pb	212Bi	212Po	208Tl	208Pb	
840000	1	1.31106e-12	1.54613e-16	1.94165e-15	4.06189e-18	7.13741e-22	1.88214e-24	4.95879e-19	4.16421e-20	2.7177e-30	9.69482e-22	1.20965e-18	
850000	1	1.32665e-12	1.56524e-16	1.98999e-15	4.1969e-18	7.3748e-22	1.94425e-24	5.12425e-19	4.3098e-20	2.80677e-30	1.00088e-21	1.27168e-18	
860000	1	1.34223e-12	1.58436e-16	2.03893e-15	4.3345e-18	7.61676e-22	2.00755e-24	5.29288e-19	4.45834e-20	2.89747e-30	1.03284e-21	1.33606e-18	
870000	1	1.35781e-12	1.60347e-16	2.08846e-15	4.47471e-18	7.86331e-22	2.07205e-24	5.4647e-19	4.60984e-20	2.98979e-30	1.06536e-21	1.40283e-18	
880000	1	1.37339e-12	1.62258e-16	2.13859e-15	4.61754e-18	8.11446e-22	2.13774e-24	5.6397e-19	4.76431e-20	3.08376e-30	1.09845e-21	1.47205e-18	
890000	1	1.38897e-12	1.64169e-16	2.1893e-15	4.763e-18	8.37024e-22	2.20465e-24	5.81791e-19	4.92177e-20	3.17936e-30	1.13211e-21	1.54378e-18	
900000	1	1.40455e-12	1.66081e-16	2.24061e-15	4.9111e-18	8.63066e-22	2.27276e-24	5.99933e-19	5.08223e-20	3.27662e-30	1.16634e-21	1.61806e-18	
910000	1	1.42013e-12	1.67992e-16	2.29251e-15	5.06185e-18	8.89574e-22	2.34208e-24	6.18398e-19	5.2457e-20	3.37552e-30	1.20114e-21	1.69496e-18	
920000	1	1.43571e-12	1.69903e-16	2.34501e-15	5.21526e-18	9.16549e-22	2.41263e-24	6.37188e-19	5.41219e-20	3.47609e-30	1.23651e-21	1.77453e-18	
930000	1	1.45129e-12	1.71813e-16	2.3981e-15	5.37134e-18	9.43995e-22	2.4844e-24	6.56302e-19	5.58172e-20	3.57831e-30	1.27246e-21	1.85682e-18	
940000	1	1.46686e-12	1.73724e-16	2.45177e-15	5.5301e-18	9.71911e-22	2.55739e-24	6.75743e-19	5.75429e-20	3.6822e-30	1.30898e-21	1.94188e-18	
950000	1	1.48244e-12	1.75635e-16	2.50604e-15	5.69155e-18	1.0003e-21	2.63162e-24	6.9551e-19	5.92992e-20	3.78777e-30	1.34608e-21	2.02979e-18	
960000	1	1.49802e-12	1.77546e-16	2.56091e-15	5.85569e-18	1.02916e-21	2.70709e-24	7.15607e-19	6.10862e-20	3.89501e-30	1.38377e-21	2.12058e-18	
970000	1	1.51359e-12	1.79456e-16	2.61636e-15	6.02254e-18	1.0585e-21	2.78379e-24	7.36032e-19	6.29041e-20	4.00393e-30	1.42203e-21	2.21433e-18	
980000	1	1.52916e-12	1.81367e-16	2.67241e-15	6.19211e-18	1.08832e-21	2.86174e-24	7.56788e-19	6.47528e-20	4.11453e-30	1.46087e-21	2.31108e-18	
990000	1	1.54474e-12	1.83277e-16	2.72904e-15	6.36439e-18	1.11861e-21	2.94094e-24	7.77875e-19	6.66325e-20	4.22682e-30	1.5003e-21	2.41088e-18	
1e+06	1	1.56031e-12	1.85188e-16	2.78627e-15	6.53941e-18	1.14939e-21	3.02139e-24	7.99295e-19	6.85433e-20	4.34081e-30	1.54032e-21	2.51381e-18	
1.01e+06	1	1.57589e-12	1.87098e-16	2.84409e-15	6.71717e-18	1.18065e-21	3.10309e-24	8.21048e-19	7.04854e-20	4.45649e-30	1.58091e-21	2.61991e-18	
1.02e+06	1	1.59146e-12	1.89008e-16	2.9025e-15	6.89767e-18	1.21239e-21	3.18606e-24	8.43134e-19	7.24587e-20	4.57387e-30	1.6221e-21	2.72925e-18	
1.03e+06	1	1.60703e-12	1.90918e-16	2.96151e-15	7.08093e-18	1.24461e-21	3.27028e-24	8.65557e-19	7.44635e-20	4.69296e-30	1.66388e-21	2.84188e-18	
1.04e+06	1	1.6226e-12	1.92828e-16	3.0211e-15	7.26695e-18	1.27732e-21	3.35578e-24	8.88314e-19	7.64997e-20	4.81376e-30	1.70624e-21	2.95785e-18	
1.05e+06	1	1.63817e-12	1.94738e-16	3.08129e-15	7.45574e-18	1.31052e-21	3.44254e-24	9.11409e-19	7.85675e-20	4.93626e-30	1.7492e-21	3.07724e-18	
1.06e+06	1	1.65374e-12	1.96648e-16	3.14206e-15	7.64731e-18	1.34421e-21	3.53057e-24	9.34842e-19	8.0667e-20	5.06048e-30	1.79275e-21	3.20008e-18	
1.07e+06	1	1.66931e-12	1.98558e-16	3.20343e-15	7.84166e-18	1.37838e-21	3.61988e-24	9.58612e-19	8.27982e-20	5.18643e-30	1.83689e-21	3.32646e-18	
1.08e+06	1	1.68488e-12	2.00468e-16	3.26539e-15	8.0388e-18	1.41305e-21	3.71047e-24	9.82722e-19	8.49612e-20	5.31409e-30	1.88163e-21	3.45641e-18	
1.09e+06	1	1.70045e-12	2.02378e-16	3.32794e-15	8.23874e-18	1.4482e-21	3.80235e-24	1.00717e-18	8.71562e-20	5.44348e-30	1.92696e-21	3.59001e-18	
1.1e+06	1	1.71601e-12	2.04287e-16	3.39108e-15	8.44148e-18	1.48385e-21	3.8955e-24	1.03196e-18	8.93832e-20	5.57459e-30	1.97289e-21	3.72732e-18	
1.11e+06	1	1.73158e-12	2.06197e-16	3.45481e-15	8.64703e-18	1.52e-21	3.98995e-24	1.0571e-18	9.16422e-20	5.70744e-30	2.01942e-21	3.86838e-18	
1.12e+06	1	1.74715e-12	2.08106e-16	3.51913e-15	8.85539e-18	1.55664e-21	4.08569e-24	1.08257e-18	9.39334e-20	5.84203e-30	2.06654e-21	4.01326e-18	
