time	238U	234Th	234Pa	234U	230Th	226Ra	222Rn	218Po	218At	214Pb	218Rn	214Bi	214Po	210Tl	210Pb	210Bi	206Hg	210Po	206Tl	206Pb	
3.08448e+07	10	1.47672e-10	1.71059e-12	1.36688e-09	1.71996e-15	4.73865e-21	2.9492e-26	1.65939e-29	2.67769e-35	1.43441e-28	6.30458e-40	1.06899e-28	1.45107e-35	1.44259e-33	4.50364e-25	2.55435e-28	6.09599e-39	1.78927e-27	1.99382e-37	5.03406e-28	
3.14496e+07	10	1.47673e-10	1.7106e-12	1.39661e-09	1.79472e-15	5.04819e-21	3.14504e-26	1.76889e-29	2.85486e-35	1.52953e-28	6.65034e-40	1.13947e-28	1.58743e-35	1.57532e-33	4.89914e-25	2.78346e-28	6.62959e-39	1.98144e-27	2.17153e-37	5.69466e-28	
3.20544e+07	10	1.47674e-10	1.71061e-12	1.42634e-09	1.8711e-15	5.37104e-21	3.34944e-26	1.88374e-29	3.03839e-35	1.62833e-28	7.07824e-40	1.21397e-28	1.69647e-35	1.68468e-33	5.32037e-25	3.02776e-28	7.19912e-39	2.18951e-27	2.36184e-37	6.4254e-28	
3.26592e+07	10	1.47674e-10	1.71061e-12	1.45607e-09	1.94908e-15	5.70749e-21	3.5626e-26	2.0039e-29	3.22906e-35	1.7311e-28	7.57307e-40	1.29228e-28	1.78549e-35	1.77688e-33	5.76841e-25	3.28791e-28	7.8059e-39	2.41441e-27	2.56512e-37	7.23201e-28	
3.3264e+07	10	1.47675e-10	1.71062e-12	1.4858e-09	2.02867e-15	6.05781e-21	3.78469e-26	2.12935e-29	3.42773e-35	1.83815e-28	8.11598e-40	1.3741e-28	1.86354e-35	1.8596e-33	6.24433e-25	3.56458e-28	8.45117e-39	2.65708e-27	2.78173e-37	8.12057e-28	
3.38688e+07	10	1.47675e-10	1.71062e-12	1.51553e-09	2.10988e-15	6.4223e-21	4.01589e-26	2.26002e-29	3.63542e-35	1.94987e-28	8.68423e-40	1.45908e-28	1.94151e-35	1.94208e-33	6.74926e-25	3.85846e-28	9.13609e-39	2.91853e-27	3.01197e-37	9.09748e-28	
3.44736e+07	10	1.47676e-10	1.71063e-12	1.54527e-09	2.19268e-15	6.80123e-21	4.2564e-26	2.39582e-29	3.85327e-35	2.06667e-28	9.25103e-40	1.54677e-28	2.03219e-35	2.03523e-33	7.28432e-25	4.17027e-28	9.86173e-39	3.19978e-27	3.25605e-37	1.01695e-27	
3.50784e+07	10	1.47676e-10	1.71063e-12	1.575e-09	2.2771e-15	7.19489e-21	4.5064e-26	2.53661e-29	4.08255e-35	2.189e-28	9.78531e-40	1.63668e-28	2.15042e-35	2.15166e-33	7.85065e-25	4.5007e-28	1.0629e-38	3.50189e-27	3.51415e-37	1.13438e-27	
3.56832e+07	10	1.47676e-10	1.71063e-12	1.60473e-09	2.36313e-15	7.60356e-21	4.76607e-26	2.68223e-29	4.32469e-35	2.31737e-28	1.02515e-39	1.72822e-28	2.31316e-35	2.30582e-33	8.44941e-25	4.8505e-28	1.14388e-38	3.82594e-27	3.78635e-37	1.26278e-27	
3.6288e+07	10	1.47676e-10	1.71064e-12	1.63446e-09	2.45077e-15	8.02752e-21	5.0356e-26	2.83272e-29	4.57196e-35	2.4494e-28	1.06838e-39	1.82389e-28	2.51746e-35	2.50103e-33	9.08202e-25	5.22042e-28	1.2292e-38	4.17306e-27	4.07292e-37	1.40294e-27	
